Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
OCEAN SOULS,--,0 Ratings,--,OCEAN SOULS,Documentary,English (United Kingdom),Philip Hamilton,Philip Hamilton,"Philip Hamilton, Amber Herzog Lyman, Amber Herzog Lyman, Philip Hamilton",,"Dec 17, 2021",,58m,,"Cetaceans, despite looking so different to us, are possibly our closest relatives in terms of cognitive abilities and family ties. We owe them respect and protection. Ocean Souls is the first ever ""in collaboration"" film about the oceans."
HAPPY TIMES,78%,"2,500+ Ratings",72%,HAPPY TIMES,Comedy,Chinese,Yimou Zhang,"Qinglong Yang, Weiping Zhang, Yu Zhao, Ping Zhou",Yan Mo,"Jul 26, 2002  Wide",,$239.1K,1h 35m,Sony Pictures Classics,"Zhao (Benshan Zhao) is a poor, aging bachelor who hasn't had luck in love. Thinking he has finally met the woman of his dreams, he leads her to believe he is wealthy and agrees to a wedding far beyond his means. Desperate for funds, he turns to his friends, who are weary of his fanciful schemes. Zhao's best friend (Xuejian Li) hatches the idea to raise the money by refurbishing an abandoned bus they will rent out by the hour - the Happy Times Hotel - to young couples starved for privacy."
HARPER,74%,"1,000+ Ratings",100%,HARPER,Mystery & Thriller,English,Jack Smight,"Jerry Gershwin, Elliott Kastner",William Goldman,,"Nov 14, 2006",,2h 1m,,"Struggling private eye Lew Harper (Paul Newman) takes a simple missing-person case that quickly spirals into something much more complex. Elaine Sampson (Lauren Bacall), recently paralyzed in a horse-riding accident, wants Harper to find her missing oil baron husband, but her tempestuous teenage stepdaughter Miranda (Pamela Tiffin) thinks Mrs. Sampson knows more than she's letting on. The film is based on Ross Macdonald's 1949 mystery ""The Moving Target,"" featuring private eye Lew Archer."
WILD GAME,--,Fewer than 50 Ratings,--,WILD GAME,"Action, Adventure, Drama, Western",English,Brock Harris,"Johnson Brock, Danny Keck, Chris Sibley","Brock Harris, Jared Bonner","Dec 17, 2021  Limited","Dec 17, 2021",,,Gravitas Ventures,"When a cash-strapped rancher takes an offer to help a movie star poach elk it seems like easy money, until a fatal run-in with the local authorities triggers a series of events that pits man against man in a bloody showdown."
THE FIRST TIME,--,Fewer than 50 Ratings,--,THE FIRST TIME,Drama,English,Charlie Loventhal,Sam Irvin,,,,,1h 35m,,A college freshman (Tim Choate) and budding filmmaker fails with his dream-girl (Krista Errickson) but overcomes it.
THE FRESHMAN,61%,"10,000+ Ratings",94%,THE FRESHMAN,Comedy,English,Andrew Bergman,Mike Lobell,Andrew Bergman,"Jul 20, 1990  Original","Jan 25, 2001",$20.7M,1h 42m,,"Clark Kellogg (Matthew Broderick) is robbed moments after arriving in New York, so when he sees his mugger several days later, he confronts him. The man promises to return his property and get him a job with his uncle, Carmine Sabatini (Marlon Brando), who turns out to be a Mafia boss. As Clark continues his shady work for Carmine, he discovers an elaborate underworld that has caught the attention of the authorities. As things come to a head, not everything is what it seems."
ROLLING LIKE THUNDER,--,0 Ratings,--,ROLLING LIKE THUNDER,Documentary,English,Roger Gastman,,,,"Dec 17, 2021",,1h 11m,,"Before street art became mainstream, the anonymous outlaws of “freight writing” put graffiti on the map. One of the most extreme and risky iterations of the art form, freight train graffiti culture has a rich history, laden with myth-like artists, remarkable romances and competitive graffiti crews. Delving into the underground subculture reveals the deep connection between graffiti and the American landscape, as well as the artists’ obsession with putting life and limb on the line to make their voices heard."
SWEET NAVIDAD,--,Fewer than 50 Ratings,--,SWEET NAVIDAD,"Holiday, Romance",English,Brittany Underwood,"Autumn Federici, Jake Helgren",Cristina Boada,,,,1h 28m,,Sparks fly between two chefs as they race against the clock to prepare the perfect menu for a hotel owner's grand holiday gala.
SHAVA NI GIRDHARI LAL,--,Fewer than 50 Ratings,--,SHAVA NI GIRDHARI LAL,"Comedy, Drama, Romance",Punjabi,Gippy Grewal,"Vashu Bhagnani, Gippy Grewal, Ashu Munish Sahni",Gippy Grewal,"Dec 17, 2021  Limited",,,,Rising Star Entertainment,"""Girdhari"", an old golden-hearted guy, is desperate to find a match because of his growing age. His desperation lands him in trouble every time he meets a gorgeous girl. Blindly driven by the desire for marriage, he doesn't care and forgets about his surroundings, whether he is attending a marriage or funeral, and makes everyone uncomfortable. Although all of his family members love him, the only person who understands him is his father. Will Girdhari find his true love?"
YOU MEAN EVERYTHING TO ME,--,0 Ratings,--,YOU MEAN EVERYTHING TO ME,Drama,English,Bryan Wizemann,"Bryan Wizemann, Matt Grady",Bryan Wizemann,"Dec 17, 2021  Limited",,,,Factory 25,"Still reeling from getting kicked out of her sister's apartment, Cassandra (Morgan Saylor of Homeland, White Girl and Blow the Man Down) falls hard and fast for Nathan, a local DJ (Ben Rosenfield of 6 Years, Boardwalk Empire, Mrs. America, Twin Peaks). After a whirlwind romance, he convinces her to quit her job and enlists her to dance at his club. As his coercive control increases and his demands grow darker, Nathan soon isolates her from her friends and family. Confused and desperate, she must figure out how to save another from the same fate and decide what her own freedom is worth."
MISTLETOE IN MONTANA,--,Fewer than 50 Ratings,--,MISTLETOE IN MONTANA,"Holiday, Romance",English,Kellie Martin,,Don Perez,,,,1h 30m,,An unlucky-in-love ranch owner feels an undeniable connection to a single father with two children who has booked her ranch for the week of Christmas.
GOODBYE HAPPINESS,--,0 Ratings,--,GOODBYE HAPPINESS,"Comedy, Drama",French (Canada),Ken Scott,Christian Larouche,Ken Scott,,,,1h 47m,,Four battling brothers come together at their summer home in the Magdalen Islands to pay a final tribute to their recently deceased father.
THE STORY OF FILM: A NEW GENERATION,--,Fewer than 50 Ratings,93%,THE STORY OF FILM: A NEW GENERATION,Documentary,English,Mark Cousins,"John Archer, Mark Cousins",Mark Cousins,"Sep 9, 2022  Limited",,,2h 47m,Music Box Films,"A decade after The Story of Film: An Odyssey, an expansive and influential inquiry into the state of moviemaking in the 20th century, filmmaker Mark Cousins returns with an epic and hopeful tale of cinematic innovation from around the globe. In The Story of Film: A New Generation, Cousins turns his sharp, meticulously honed gaze on world cinema from 2010 to 2021, using a surprising range of works -- including Joker, Frozen and Cemetery of Splendour -- as launchpads to explore recurring themes and emerging motifs, from the evolution of film language, to technology's role in moviemaking today, to shifting identities in 21st-century world cinema. Touching on everything from Parasite and The Farewell to Black Panther and Lover's Rock, Cousins seeks out films, filmmakers and communities under-represented in traditional film histories, with a particular emphasis on Asian and Middle Eastern works, as well as boundary-pushing documentaries and films that see gender in new ways. And as the recent pandemic recedes, Cousins ponders what comes next in the streaming age: how have we changed as cinephiles, and how moviegoing will continue to transform in the digital century, to our collective joy and wonder."
FORTRESS,74%,500+ Ratings,--,FORTRESS,Mystery & Thriller,English,Arch Nicholson,,,,"Oct 4, 2005",,1h 29m,,"As the teacher at a small school in rural Australia, Sally Jones (Rachel Ward) leads a rather mundane life. However, for her and nine of her students, all of that changes when a band of criminals breaks into their school to take them hostage. Dragging the teacher and children to the outback, the kidnappers intend to hold their victims for ransom. But Jones has other plans. Leading her pupils, Jones turns on her captors and fights to first survive and then escape."
THE NOVICE,43%,100+ Ratings,--,THE NOVICE,Drama,English,Murray Robinson,"Robert Abramoff, D. Scott Lumpkin, Murray Robinson",Murray Robinson,"Sep 30, 2006  Original","May 8, 2007",,1h 29m,,A Jesuit seminarian (Jacob Pitts) finds his life very complicated when he falls in love with a woman (Amy Acker).
MR. BIRTHDAY,--,Fewer than 50 Ratings,--,MR. BIRTHDAY,Comedy,English,Dan Hunter,"Tom DeNucci, Paul Luba, Matthew Luke Tucci, Chad A. Verdi Jr., Chad A. Verdi",Matthew Luke Tucci,,"Dec 17, 2021",,1h 33m,,"While working his maintenance job at an upscale hotel, Barry encounters the mysterious Mr. Jay. He introduces Barry to the International Birthday Network, an agency that helps children across the globe suffering from miserable birthdays."
ONE OF OUR OWN,--,0 Ratings,--,ONE OF OUR OWN,Drama,English,Allen Smithee,Jack Laird,,,,,1h 40m,,The chief neurosurgeon (George Peppard) handles crises at a big-city hospital.
DEBBIE AND THE DEVIL,--,0 Ratings,--,DEBBIE AND THE DEVIL,"Comedy, Horror",English,Naz Red,"April Mendoza, Naz Red",Naz Red,,,,1h 20m,,"After a school shooting, two shell-shocked children seek refuge in a movie theater run by the devil, where they are shown three horror films."
SWAN SONG,--,0 Ratings,--,SWAN SONG,Drama,,Zhang Zeming,,,,,,1h 39m,,A composer of classical Cantonese music meets with betrayal and tragedy in the years following the Cultural Revolution.
CYRANO,86%,500+ Verified Ratings,85%,CYRANO,"Musical, Romance, Drama",English,Joe Wright,"Tim Bevan, Eric Fellner, Guy Heeley",Erica Schmidt,"Feb 25, 2022  Limited",,$3.9M,2h 3m,United Artists Releasing,"Award-winning director Joe Wright envelops moviegoers in a symphony of emotions with music, romance, and beauty in Cyrano, re-imagining the timeless tale of a heartbreaking love triangle. A man ahead of his time, Cyrano de Bergerac (played by Peter Dinklage) dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne (Haley Bennett), Cyrano has yet to declare his feelings for her -- and Roxanne has fallen in love, at first sight, with Christian (Kelvin Harrison, Jr.)."
THE TENDER BAR,69%,500+ Ratings,51%,THE TENDER BAR,"Comedy, Drama",English,George Clooney,"George Clooney, Grant Heslov, Ted Hope",William Monahan,"Dec 22, 2021  Wide","Jan 7, 2022",,1h 46m,Amazon Studios,"The Tender Bar tells the story of J.R. (Tye Sheridan), a fatherless boy growing up in the glow of a bar where the bartender, his Uncle Charlie (Ben Affleck), is the sharpest and most colorful of an assortment of quirky and demonstrative father figures. As the boy's determined mother (Lily Rabe) struggles to provide her son with opportunities denied to her -- and leave the dilapidated home of her outrageous if begrudgingly supportive father (Christopher Lloyd) -- J.R. begins to gamely, if not always gracefully, pursue his romantic and professional dreams -- with one foot persistently placed in Uncle Charlie's bar. The Tender Bar is based on the best-selling memoir of the same name by J.R. Moehringer."
ANA,--,0 Ratings,--,ANA,"Drama, Fantasy",Bangla,Debojyoti Lahiri,,,,,,20m,,Ana suffers from a sexual self-identity crisis.
THE GREAT RUPERT,49%,"1,000+ Ratings",--,THE GREAT RUPERT,"Holiday, Comedy",English,Irving Pichel,George Pal,,"Mar 1, 1950  Original","Jun 1, 1999",,1h 26m,,"Louie Amendola (Jimmy Durante), once a vaudeville performer with his wife and daughter, hasn't been getting any work, and, as Christmas approaches, his family is homeless. They find a room at Frank Dingle's (Frank Orth) house, but don't know how they'll pay the rent. Then the money Frank's been hiding in the ceiling above their apartment lands in the Amendolas' hands when a crafty squirrel heaves it out of its hiding space, causing more complications within the household."
OUT OF BODY,--,0 Ratings,--,OUT OF BODY,"Comedy, Drama, Romance",English,Jason T. Gaffney,"Ed Gaffney, Jack Gravina, Shirley T. Hailstock, Mitchell Quaranta","Jason T. Gaffney, Suzanne Brockmann",,,,1h 44m,,"When Mal's body is hijacked by an escaped demon, his spirit must catch Henry's attention, and after a series of misadventures, they battle the demon to get Mal's body back and win their happily-ever-after."
NEIL,--,0 Ratings,--,NEIL,Drama,English,Boris Mojsovski,"Ingrid Veninger, Srdjan Vilotijevic, Boris Mojsovski","Ognen Georgievski, Boris Mojsovski",,,,1h 30m,,"An agoraphobic (Greg Bryk) has limited contact with the outside world, including a mysterious woman (Mary Krohnert) claiming to be his wife."
THE ARTIST,87%,"50,000+ Ratings",95%,THE ARTIST,"Romance, Comedy, Drama",,Michel Hazanavicius,Thomas Langmann,Michel Hazanavicius,"Nov 23, 2011  Limited","Apr 24, 2012",$44.7M,1h 40m,Weinstein Co.,"In the 1920s, actor George Valentin (Jean Dujardin) is a bona fide matinee idol with many adoring fans. While working on his latest film, George finds himself falling in love with an ingenue named Peppy Miller (Bérénice Bejo) and, what's more, it seems Peppy feels the same way. But George is reluctant to cheat on his wife with the beautiful young actress. The growing popularity of sound in movies further separates the potential lovers, as George's career begins to fade while Peppy's star rises."
GANDAHAR,73%,"1,000+ Ratings",--,GANDAHAR,"Sci-Fi, Animation",English,"René Laloux, Harvey Weinstein",Bob Weinstein,,"Jan 28, 1988  Original",,,1h 20m,"Image Entertainment Inc., Miramax Films","This animated film is set on the planet Gandahar, where peace reigns and poverty is unknown. The utopian lifestyle is upset by reports of people at the outlying frontiers being turned to stone. Sent to investigate, Prince Sylvain (John Shea) crashes and is rescued by the Deformed, hideous genetic experiments gone wrong and left to fend for themselves. With their help, Sylvain discovers that the Metamorphosis, a gigantic brain also created in an experiment, is trying to destroy Gandahar."
DAYS OF OUR LIVES: A VERY SALEM CHRISTMAS,--,Fewer than 50 Ratings,--,DAYS OF OUR LIVES: A VERY SALEM CHRISTMAS,"Holiday, Drama",English,Ken Corday,,Ron Carlivati,,"Dec 16, 2021",,1h 30m,,"Before the Christmas Eve deadline, Sonny helps Will write a holiday movie that includes stories about Salem favorites as they embrace the holiday spirit with their typical extra spice and flavor."
DEAD ASLEEP,13%,Fewer than 50 Ratings,--,DEAD ASLEEP,"Crime, Documentary",English,Skye Borgman,Sandrine Magloire-Szlasa,,,"Dec 16, 2021",,1h 30m,,"The case of Randy Herman Jr., a Florida man convicted of a murder he says he committed while sleepwalking in 2017."
A NAIJA CHRISTMAS,--,Fewer than 50 Ratings,--,A NAIJA CHRISTMAS,"Holiday, Romance, Comedy",English,Kunle Afolayan,,Kemi Adesoye,,"Dec 16, 2021",,2h 2m,,A mother's Christmas wish -- and the grand prize that comes with it -- sets off a fierce competition between her sons.
A CALIFORNIA CHRISTMAS: CITY LIGHTS,48%,Fewer than 50 Ratings,--,A CALIFORNIA CHRISTMAS: CITY LIGHTS,"Holiday, Romance, Comedy, Drama",English,Shaun Paul Piccinino,"Ali Afshar, Daniel Aspromonte, Josh Swickard, Lauren Swickard",Lauren Swickard,,"Dec 16, 2021",,1h 30m,,"It's been a year since Callie and Joseph fell in love, and they're happier than ever running their dairy farm and winery, until business and family obligations call him back to the city -- and threaten to derail their romance."
SOUTH PARK: POST COVID: THE RETURN OF COVID,67%,50+ Ratings,--,SOUTH PARK: POST COVID: THE RETURN OF COVID,"Comedy, Animation",English,Trey Parker,"Adrien Beard, Vernon Chatman, John 'Nancy' Hansen, Anne Garefino, Bruce Howell, David List, Mark Munley, Nate Pellettieri, Greg Postma, Lydia Quidilla, Wonnie Ro, Daryl Sancton, Jenny Shin, Eric Stough, Keo Thongkham",Trey Parker,,"Dec 16, 2021",,1h 2m,,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened and save Kenny's life. In SOUTH PARK: POST COVID: THE RETURN OF COVID, traveling back to the past seems to be the easy answer until they meet Victor Chaos."
NYC DREAMS,--,0 Ratings,--,NYC DREAMS,"Drama, Musical, Romance",English,"J. Arcane, Paul Erskine",Paul Erskine,J. Arcane,,,,1h 45m,,"A talented but struggling dancer in New York City uses his daydreams to escape and find love. Dancing through the city he loves, he meets lovers who betray him and strangers who aid him, including his abusive father's latest lover, who takes him in."
CHRISTMAS BY CHANCE,--,0 Ratings,--,CHRISTMAS BY CHANCE,"Holiday, Romance",English,Andrew Cymek,Brigitte Kingsley,Brigitte Kingsley,,,,1h 37m,,"A wealthy and popular entrepreneur hires Chance Hazelton, owner of a struggling shop called Gifts by Chance, to help him organize a perfect proposal for his girlfriend."
THE MATRIX RESURRECTIONS,63%,"2,500+ Verified Ratings",63%,THE MATRIX RESURRECTIONS,"Sci-Fi, Action",English,Lana Wachowski,"James McTeigue, Lana Wachowski, Grant Hill","Lana Wachowski, David Mitchell, Aleksandar Hemon","Dec 22, 2021  Wide","Dec 22, 2021",$37.7M,2h 28m,Warner Bros. Pictures,"To find out if his reality is a physical or mental construct, Mr. Anderson, aka Neo, will have to choose to follow the white rabbit once more. If he's learned anything, it's that choice, while an illusion, is still the only way out of -- or into -- the Matrix. Neo already knows what he has to do, but what he doesn't yet know is that the Matrix is stronger, more secure and far more dangerous than ever before."
DIABOLIK,--,0 Ratings,--,DIABOLIK,"Crime, Drama",Italian,"Antonio Manetti, Marco Manetti",Paolo Del Brocco,"Antonio Manetti, Marco Manetti",,,,2h 19m,,"The dark and romantic story of the first meeting between master thief Diabolik and Eva Kant, set in the fictional state of Clerville in the late 1960s."
THE LOST DAUGHTER,52%,"1,000+ Ratings",94%,THE LOST DAUGHTER,Drama,English,Maggie Gyllenhaal,"Charlie Dorfman, Maggie Gyllenhaal, Osnat Handelsman-Keren, Talia Kleinhendler",Maggie Gyllenhaal,"Dec 31, 2021  Limited","Dec 31, 2021",,2h 2m,Netflix,"Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the beach. Unnerved by their compelling relationship, (and their raucous and menacing extended family), Leda is overwhelmed by her own memories of the terror, confusion and intensity of early motherhood. An impulsive act shocks Leda into the strange and ominous world of her own mind, where she is forced to face the unconventional choices she made as a young mother and their consequences."
THIS KILLING BUSINESS,--,Fewer than 50 Ratings,--,THIS KILLING BUSINESS,"Crime, Drama",English,Federico Muchnik,,Federico Muchnik,,,,1h 30m,,"Jim (Alexander Cook) strangles Harry, his manager, one night on an abandoned highway. After the crime Jim learns that Gail (Michala Hansen), his girlfriend, had slept with Harry months ago and he contemplates killing her too."
A COFFEE GRINDER,--,0 Ratings,--,A COFFEE GRINDER,"Drama, Lgbtq+",English,Nelson Moses Lassiter,,,,,,10m,,A newly purchased coffee grinder becomes the catalyst that forces a couple to confront a harsh truth.
FORBIDDEN FRUIT,--,Fewer than 50 Ratings,--,FORBIDDEN FRUIT,Drama,French (Canada),Henri Verneuil,,Georges Simenon,,,,1h 40m,,"In France, successful physician Charles Pelligrin (Fernandel) moves to the country and settles down with his wife, Armande (Claude Nollier), their children, and his mother. Despite the true happiness of his family life, Charles is surprised when a casual meeting with a vibrant young woman, Martine (Françoise Arnoul), stirs him into an eventual torrid affair. Unaware of Martine's calculated ambitions, Charles is also oblivious that his wife and his mother have discovered his illicit romance."
DOWNTOWN,31%,"1,000+ Ratings",--,DOWNTOWN,"Comedy, Drama",English,Richard Benjamin,,,"Jan 12, 1990  Limited","Mar 1, 2013",$2.2M,1h 36m,,"Officer Alex Kearney (Anthony Edwards) patrols an upscale neighborhood in Philadelphia, where he pulls over a well-connected white collar executive who promises to get even with the policeman. Soon, Kearney learns that he is off the cushy suburban beat and must now work in the deadliest precinct in Philly, where he is partnered with tough veteran cop Dennis Curran (Forest Whitaker). Tensions are high between them, but Kearney soon proves he can play just as rough as the crooks."
SHADOW,--,0 Ratings,--,SHADOW,Drama,English,Autumn McAlpin,"Autumn McAlpin, Laurel Moje Wetzork",Autumn McAlpin,,,,30m,,A three-legged dog helps a professional surfer recover from a career-ending injury.
CAUGHT IN THE ACT,--,0 Ratings,--,CAUGHT IN THE ACT,Drama,English,,,,"May 13, 1966  Limited",,,1h 22m,,A young woman and her male traveling companion become involved with a wealthy Swedish family.
CONNECTIONS,--,0 Ratings,--,CONNECTIONS,Mystery & Thriller,English,Patrick Jamain,,,,,,1h 29m,,A reporter goes under cover in search of a scoop after several female clients of a dating agency turn up missing.
137 SHOTS,33%,Fewer than 50 Ratings,--,137 SHOTS,Documentary,English,Michael Milano,,,,"Dec 15, 2021",,1h 45m,,"Law enforcement personnel face scrutiny after police violence claims multiple Black lives in Cleveland, including the lives of Malissa Williams, 30, and Timothy Russell, 43, killed by police officers who fired 137 bullets at them."
TECHNOLOGY,--,0 Ratings,--,TECHNOLOGY,Fantasy,English,Maiko Endo,,,,,,1h 13m,,A girl from the moon travels to Earth.
SHATNER IN SPACE,17%,Fewer than 50 Ratings,--,SHATNER IN SPACE,,English,,,,,"Dec 15, 2021",,46m,,Genre: Documentary
NEW YEAR,--,Fewer than 50 Ratings,--,NEW YEAR,"Holiday, Romance, Comedy, Drama",English,Phil Borg,Claudio Chiodo,"Phil Borg, Julian DeZotti",,"Aug 29, 2012",,1h 17m,,A group of 20-something Gen Y-ers reunite for a New Year's Eve bash and end up taking a crash course in growing up.
THE ENCHANTED CHRISTMAS CAKE,--,Fewer than 50 Ratings,--,THE ENCHANTED CHRISTMAS CAKE,"Holiday, Romance",English,Robert Vaughn,,"Linda Kupecek, Robin Dunne, Robert Vaughn",,,,1h 30m,,"When a high-end chef comes to town to film a Christmas special, local baker Gwen agrees to help handsome TV producer Gavin prepare for the shoot in hopes of regaining her Christmas spirit, which she lost when her grandma Lottie passed last year."
THE QUEST FOR TONEWOOD,--,0 Ratings,--,THE QUEST FOR TONEWOOD,Documentary,English,Hans Lukas Hansen,Benedikte Danielsen,Christian Lysvåg,,,,1h 23m,,"A luthier is obsessed with the idea of crafting a violin, the sound of which is so exceptional that it will thrill the musician who plays it and caress the souls of those who hear it."
SPIDER-MAN: NO WAY HOME,98%,"25,000+ Verified Ratings",93%,SPIDER-MAN: NO WAY HOME,"Action, Adventure, Fantasy, Comedy",English,Jon Watts,"Kevin Feige, Amy Pascal","Chris McKenna, Erik Sommers","Dec 17, 2021  Wide",,$814.1M,2h 28m,Columbia Pictures,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange's help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who've ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse."
BREATHE,--,0 Ratings,--,BREATHE,"Comedy, Drama",English,Sam Rogers,,Sam Rogers,,,,12m,,Two friends prepare for the end of the world.
UNTIL THE WHEELS COME OFF,--,0 Ratings,--,UNTIL THE WHEELS COME OFF,Documentary,English,"Matt Dearborn, Rick Weis","Matt Dearborn, Rick Weis, Jenny Dearborn",,,,,1h 38m,,"With his loyal family and friends serving as his support crew, 50-year-old cyclist John Tarlton competes in one of the most grueling bike races in the world."
BALSAM: A PARANORMAL INVESTIGATION,--,0 Ratings,--,BALSAM: A PARANORMAL INVESTIGATION,Documentary,English,Tony Cadwell,"Norman Alston, Bryan Batchler, Kane Hodder, Eric Houghton, Eben McGarr",Tony Cadwell,,,,1h 23m,,"Kane Hodder and paranormal experts investigate strange happenings at The Grand Old Lady Hotel in Balsam, N.C."
SILVERBACK: THE TRENT WILLIAMS STORY,--,Fewer than 50 Ratings,--,SILVERBACK: THE TRENT WILLIAMS STORY,"Biography, Documentary",English,Jared Zwerling,,,,"Dec 14, 2021",,,,"Trent ""Silverback"" Williams, the NFL's best offensive lineman over the last decade, overcame a life-threatening cancer on his head to become the highest-paid at his position in league history and an accomplished entrepreneur off the field."
GROUND CONTROL,35%,500+ Ratings,40%,GROUND CONTROL,Drama,English,Richard Howard,"Talaat Captan, Vince Ravine","Mark Shepherd, Robert Moreland",,"Apr 27, 1999",,1h 38m,,"An air-traffic controller (Kiefer Sutherland) quits after a plane crash but, years later, goes to help an airport that is in the path of a terrible storm."
THE RISE AND FALL OF LULAROE,--,Fewer than 50 Ratings,--,THE RISE AND FALL OF LULAROE,Documentary,English,,,,,"Dec 13, 2021",,,,"THE RISE AND FALL OF LULAROE shines a light on present day LuLaRoe at the company's most recent incentive trip in Cancun, Mexico called LuLaRoe D.R.E.A.M 2021. Here, we meet LuLaRoe's first ever retailer and see that the company is still going strong, despite the growing community of Facebook activists, including former customers and retailers, who are determined to stop at nothing to take down the organization. Experts in the documentary reflect on how LuLaRoe seduced thousands of recruits, some of whom ended up risking their homes, their bank accounts, and their relationships with close family and friends -- all in an effort to be their own boss by selling LuLaRoe leggings. The film explores the psychological techniques used by multi-level marketers, and how the company harnessed the full power of social media to onboard a massive pool of retailers."
PEARL,--,Fewer than 50 Ratings,--,PEARL,Mystery & Thriller,English,Devon Bray,,Micah Dennis,,"Dec 20, 2021",,1h 1m,,"Although Travis loses his job and his girlfriend, he is finally out of rehab. He meets Pearl, a young woman who makes it difficult for him to steer clear of his bad habits."
POSTCARDS,--,0 Ratings,--,POSTCARDS,Drama,English,Mark Rappaport,,,,"Apr 17, 2020",,27m,,"A separated couple try to keep in touch through postcards of American sights, includig motels, monuments and parks."
THE AFTERMATH,--,0 Ratings,--,THE AFTERMATH,"Action, Crime, Drama, Mystery & Thriller",English,Nina Stakz,,Nina Stakz,,,,1h 20m,,"After the new guy botches a perfectly planned armored car heist, four crafty criminals are left trapped, with the police closing in on them."
DEATH BREED,--,0 Ratings,--,DEATH BREED,Horror,English,Benjamin Dixon,"Stacey Dixon, Vaton Hadley","Benjamin Dixon, Jim O'Rear, C. H. Brocker, Vaton Hadley",,,,1h 55m,,"An anthology of three short horror stories featuring some well-known horror actors and actresses. Featured titles are ""Wolfsbayne,"" ""Shudder,"" and ""Old Habits Die Hard."""
THE DARKNESS OF THE ROAD,--,0 Ratings,--,THE DARKNESS OF THE ROAD,"Drama, Horror, Mystery & Thriller",English,Eduardo Rodriguez,"Juliet Berman, David Lawson Jr., Justin Nappi, Eric Tosstorff",Eduardo Rodriguez,,,,1h 20m,,"A single mother and her young daughter drive on a desolate road in a moonless desert. After meeting a young hitchhiker, the mother realizes her daughter is missing. As they search for her, a merciless force begins to torment the two women."
A CHRISTMAS STRAY,--,Fewer than 50 Ratings,--,A CHRISTMAS STRAY,"Holiday, Romance",English,Roger M. Bobb,"Shane Boucher, Caitlin Delaney",Tobin Addington,,,,1h 25m,,"A man finds himself hopelessly stranded in a small town on Christmas Eve and unable to shake the stray dog that ran him off the road. He's drawn to the free-spirited, local veterinarian."
GHOSTS OF CHRISTMAS PAST,--,Fewer than 50 Ratings,--,GHOSTS OF CHRISTMAS PAST,"Holiday, Romance",English,Virginia Abramovich,Adam Gowland,Shannon Latimer,,,,1h 30m,,"Ellie, a serial ""ghoster"" on dating apps, is told by a fortune teller that she must resolve her past and make amends with all of those she ghosted before Christmas, or she is destined never to find true love."
"SANTA, BABY!",--,Fewer than 50 Ratings,--,"SANTA, BABY!","Holiday, Musical, Animation",,Lee Dannacher,,,,,,44m,,"Prodded by a magical partridge, a songwriter becomes a sidewalk Santa and finds the inspiration to write a hit song that embodies the spirit of Christmas."
THE 13TH CROSS,--,0 Ratings,--,THE 13TH CROSS,Mystery & Thriller,English,Joseph DeGolyer,"Sterling Andrews, Stephanie Paige Cabanilla, Joseph DeGolyer, Jim Ly, Parker Peterson",Joseph DeGolyer,,,,1h 47m,,A man with a troubled past seeks to atone for his sins by acting as a hitman for a religious organization by killing those who have committed the unforgivable sin of harming innocents.
NOVEMBER,41%,"5,000+ Ratings",31%,NOVEMBER,Drama,English,Greg Harrison,"Jake Abraham, Danielle Renfrew, Gary Winick",Benjamin Brand,"Jul 22, 2005  Original","Dec 20, 2005",$191.3K,1h 16m,Sony Pictures Classics,"One night, the boyfriend of Sophie Jacobs (Courteney Cox) is murdered in what appears to be a random convenience store robbery. Sophie, who is waiting in the car when this happens, struggles to come to terms with the incident and starts developing migraines. As she begins to lose herself to her emotional turmoil, a strange twist occurs when, as part of a photography exhibit she is putting together for some college students, Sophie sees an image of the store from the same night as the murder."
THE BEST INTENTIONS,87%,500+ Ratings,81%,THE BEST INTENTIONS,"Drama, Biography, Romance",Swedish,Bille August,Ingrid Dahlberg,Ingmar Bergman,,"Jun 7, 2016",$1.2M,3h 2m,,"In this film about Ingmar Bergman's parents, young Henrik Bergman (Samuel Fröler) is studying for the priesthood and trying to make ends meet when he encounters the lovely, affluent Anna (Pernilla August). Despite their social differences, Henrik and Anna fall in love, wed and move to the country. They lead a quiet life as Henrik works as a clergyman, but it isn't long before the simple people and plain surroundings make Anna long for a more lavish lifestyle, which causes marital stress."
PRIVATE LESSON,--,0 Ratings,--,PRIVATE LESSON,"Romance, Comedy",Turkish,Kivanc Baruonu,,"Murat Disli, Yasemin Erturan",,"Dec 16, 2022",,1h 29m,,"Posing as a private tutor, Azra secretly coaches students on achieving their goals in life and love -- but not without a few bumps in the road."
